MERCADO,CATEGORIA,ANO,BIM,BIMESTRE,VENDAS VOLUME (in 000 KG),VENDAS VALOR (in 000),FABRICANTE
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,1,JAN/FEV 2018,2725.12,33221.26,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,2,MAR/ABR 2018,2559.47,31495.97,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,3,MAI/JUN 2018,2467.27,31346.84,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,4,JUL/AGO 2018,2425.35,31765.42,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,5,SET/OUT 2018,2523.64,33551.62,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2018,6,NOV/DEZ 2018,1874.82,23238.12,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,1,JAN/FEV 2019,2968.28,39461.06,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,2,MAR/ABR 2019,2783.63,35985.07,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,3,MAI/JUN 2019,1678.35,21782.51,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,4,JUL/AGO 2019,1997.15,27402.98,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,5,SET/OUT 2019,2481.99,34819.93,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2019,6,NOV/DEZ 2019,2959.94,42396.37,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,1,JAN/FEV 2020,3093.34,46655.0,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,2,MAR/ABR 2020,2737.64,41993.68,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,3,MAI/JUN 2020,2610.52,37016.19,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,4,JUL/AGO 2020,2745.84,40443.14,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,5,SET/OUT 2020,2397.7,36510.28,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2020,6,NOV/DEZ 2020,2128.77,36063.14,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,1,JAN/FEV 2021,2682.6,45197.64,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,2,MAR/ABR 2021,1540.19,27272.58,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,3,MAI/JUN 2021,1554.53,28304.01,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,4,JUL/AGO 2021,1592.35,29718.73,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,5,SET/OUT 2021,1734.96,31889.65,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2021,6,NOV/DEZ 2021,1385.19,25875.06,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2022,1,JAN/FEV 2022,1413.01,27421.5,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2022,2,MAR/ABR 2022,1121.44,22395.18,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2022,3,MAI/JUN 2022,1117.52,22901.61,CONCORRENCIA
INA BAURU+MARILIA+PRESIDENTE PRUDENTE,LINGUICA FRESCAL CONCORRENCIA,2022,4,JUL/AGO 2022,1302.12,27029.64,CONCORRENCIA
