MERCADO,CATEGORIA,ANO,BIM,BIMESTRE,VENDAS VOLUME (in 000 KG),VENDAS VALOR (in 000),FABRICANTE
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,1,JAN/FEV 2018,2728.53,35474.16,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,2,MAR/ABR 2018,2221.79,28159.99,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,3,MAI/JUN 2018,2261.44,28489.3,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,4,JUL/AGO 2018,2102.86,27508.55,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,5,SET/OUT 2018,2160.98,27997.37,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2018,6,NOV/DEZ 2018,2247.17,28339.95,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,1,JAN/FEV 2019,1810.15,22911.35,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,2,MAR/ABR 2019,1874.75,24375.35,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,3,MAI/JUN 2019,1841.53,24336.97,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,4,JUL/AGO 2019,2094.31,27400.31,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,5,SET/OUT 2019,2494.81,32334.41,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2019,6,NOV/DEZ 2019,2457.31,32859.66,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,1,JAN/FEV 2020,2285.64,32206.95,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,2,MAR/ABR 2020,2154.94,32405.56,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,3,MAI/JUN 2020,2145.36,32245.16,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,4,JUL/AGO 2020,2308.21,35388.35,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,5,SET/OUT 2020,2397.75,37752.46,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2020,6,NOV/DEZ 2020,2382.06,41466.57,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,1,JAN/FEV 2021,2611.12,47985.5,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,2,MAR/ABR 2021,1718.37,34237.8,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,3,MAI/JUN 2021,1698.92,34092.12,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,4,JUL/AGO 2021,1464.91,29724.94,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,5,SET/OUT 2021,1441.04,30071.08,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2021,6,NOV/DEZ 2021,1468.58,30562.44,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2022,1,JAN/FEV 2022,1612.92,33617.29,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2022,2,MAR/ABR 2022,1432.27,30232.25,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2022,3,MAI/JUN 2022,1308.58,28207.41,CONCORRENCIA
INA CAMPINAS,LINGUICA FRESCAL CONCORRENCIA,2022,4,JUL/AGO 2022,1562.73,32610.58,CONCORRENCIA
